,product_url,product_name,product_img,product_price
43,/vp/products/4613369411?itemId=5706207598&vendorItemId=4657916325&sourceType=CATEGORY&categoryId=178354,"넥스 127cm UHD TV [US50G], 스탠드형, 자가설치, 1_US50G (스탠드형 / 자가설치)",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/09a6/571d82a89df81b9205dc72001b5f0ed3ec396650b8ecddca679edb402b75.jpg,"359,000"
44,/vp/products/328754459?itemId=1051375924&vendorItemId=5518261575&sourceType=CATEGORY&categoryId=178354,"필립스 4K UHD 139.7cm 스마트 TV 55PUN6784, 스탠드형, 방문설치",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/272368206019465-76ec2299-2c19-4d44-a3ce-8c4ac9bc9ca9.jpg,"699,000"
45,/vp/products/304163042?itemId=957202816&vendorItemId=75693833860&sourceType=CATEGORY&categoryId=178354,"LG전자 43형- (약 107cm) UHD 스마트 LED TV 2020년 로컬완료, 출고지방문, 43UK6090",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f8a7/547a933438ef929057e8260ebf3c8e40fbd5c2b1ad4a761c5ee841d47f52.jpg,"449,000"
46,/vp/products/335739790?itemId=1071276240&vendorItemId=5561246972&sourceType=CATEGORY&categoryId=178354,"폴라로이드 4K UHD 138cm 무결점 TV PDK55CP, 스탠드형, 방문설치",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/274041250258677-1a22f0c5-6628-461a-a900-262fd8b5743e.jpg,"488,640"
47,/vp/products/140323237?itemId=408906189&vendorItemId=76214798049&sourceType=CATEGORY&categoryId=178354,"윤씨네 족자스크린 화이트 100인치 4:3, J100",//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/10/01/17/6/847c8bb9-fea2-49ba-a169-b610cc04e62b.jpg,"54,900"
48,/vp/products/4788873753?itemId=6132831691&vendorItemId=73429101033&sourceType=CATEGORY&categoryId=178354,"LG전자 4K 울트라HD LED 189cm AI ThinQ TV 75UN7850GNA, 벽걸이형, 방문설치",//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/12/21/9/93d43a47-b79b-4817-b77c-268351e31b7b.jpg,"1,853,330"
49,/vp/products/294059507?itemId=928059258&vendorItemId=77076888635&sourceType=CATEGORY&categoryId=178354,"PIMPIN 무설정 통합 리모콘, PB-9085",//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/03/13/1/3fc30605-b29d-4503-b626-4dfaa36685e3.jpg,"8,900"
50,/vp/products/5436196590?itemId=8252566326&vendorItemId=75540529017&sourceType=CATEGORY&categoryId=178354,"LG전자 UHD LED 176cm 일반형TV 70UP8300ENA 방문설치, 스탠드형",//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/04/28/17/0/2aa2e05e-dc44-48c7-84c6-79c35acc425e.jpg,"1,408,370"
51,/vp/products/1102415144?itemId=2062776942&vendorItemId=70062006110&sourceType=CATEGORY&categoryId=178354,정수생활건강 이동식 TV스탠드 거치대 삼성 LG TV 일반브랜드 32~70인치 프리미엄,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7b7e/d57f28e1245e0280391b892400e4c5b4018a6ae22955b89dacbd083aa837.jpg,"56,500"
52,/vp/products/4798305046?itemId=6156711592&vendorItemId=74135714733&sourceType=CATEGORY&categoryId=178354,"이노스 FHD 101.6cm TV 제로베젤 스마트 TV S4001KU, 스탠드형, 자가설치",//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/14/15/8/0bc45b43-368b-4170-aa38-30f9c16bedc4.jpg,"319,000"
